rank	name	metric
1	swg02_l045_f75	0.779121465
2	swg01_l045_f65	0.755357190
3	swg00_l045_f55	0.740752893
4	swg05_l090_f75	0.710339007
5	swg04_l090_f65	0.666716535
6	swg03_l090_f55	0.644809202
7	swg08_l135_f75	0.600554917
8	swg07_l135_f65	0.541552144
9	swg06_l135_f55	0.525272625
10	swg11_l180_f75	0.429991195
11	swg09_l180_f55	0.369431851
12	swg10_l180_f65	0.365418110
13	swg14_l225_f75	0.239251235
14	swg12_l225_f55	0.184116107
15	swg13_l225_f65	0.172978684
