rank	name	metric
1	tip200_p1.85	0.825484724
2	tip190_p1.85	0.823303198
3	tip190_p1.70	0.822138876
4	tip200_p1.70	0.821796282
5	tip180_p1.70	0.817833634
6	tip180_p1.80	0.817411083
7	tip180_p1.90	0.816545301
8	tip180_p1.60	0.816382083
9	tip180_p2.00	0.814756401
10	tip180_p1.50	0.812405615
11	tip170_p1.70	0.806184164
12	tip170_p1.85	0.803543909
