rank	name	metric
1	sae_mn0.52_lp0.18	0.841640806
2	sae_mn0.52_lp0.24	0.841430367
3	sae_mn0.52_lp0.14	0.841366521
4	sae_mn0.58_lp0.18	0.837839756
5	sae_mn0.58_lp0.24	0.837667370
