rank	name	metric
1	tip180_p1.7	0.817828045
2	tip180_p2.2	0.808663013
3	tip160_p1.7	0.793405380
4	tip180_p1.2	0.785596104
5	tip160_p1.2	0.783472829
6	tip150_p1.7	0.780963767
7	tip150_p1.2	0.779491109
8	tip160_p2.2	0.771561933
9	tip150_p2.2	0.752257171
